[NM_001161727, 17]
[NM_001161728, 17]
[NM_001161729, 17]
[NM_152376, 5]
[NM_001039500, 2]
[NM_018584, 218]
[NM_024544, 40]
[NM_207334, 1]
[NM_001785, 7]
[NM_032409, 124]
[NR_046507, 134]
[NM_005216, 118]
[NM_001122819, 3]
[NM_001287212, 3]
[NM_020816, 3]
[NM_016287, 171]
[NM_001198801, 76]
[NM_001198802, 76]
[NM_003760, 75]
[NM_001198803, 10]
[NM_001113347, 55]
[NM_001113348, 55]
[NM_001113349, 55]
[NM_001397, 55]
[NM_001256416, 3]
[NM_001256417, 3]
[NM_032264, 3]
[NR_046176, 3]
[NM_000478, 10]
[NM_001127501, 10]
[NM_001177520, 10]
[NM_001145657, 100]
[NM_001145658, 101]
[NM_002885, 100]
[NM_032236, 45]
[NM_001032730, 18]
[NM_001013693, 40]
[NM_001291860, 110]
[NM_005529, 110]
[NR_110692, 1]
[NR_023918, 11]
[NR_023919, 11]
[NR_109759, 11]
[NR_109761, 11]
[NR_109762, 11]
[NR_109760, 11]
[NM_001039802, 314]
[NM_001791, 314]
[NM_044472, 66]
[NM_030761, 1]
[NM_001083621, 43]
[NM_014870, 43]
[NM_015991, 41]
[NM_001114101, 22]
[NM_172369, 22]
[NM_000491, 39]
[NM_004442, 3]
[NM_017449, 3]
[NM_001009999, 34]
[NM_015013, 34]
[NM_001142546, 68]
[NM_033631, 68]
[NM_000864, 1]
[NR_110616, 6]
[NM_001102397, 154]
[NM_001102398, 155]
[NM_001102399, 155]
[NM_001297620, 151]
[NM_001297621, 153]
[NM_001297622, 151]
[NM_005826, 154]
[NM_001077195, 24]
[NM_030634, 24]
[NM_003196, 15]
[NM_001143778, 45]
[NM_017707, 45]
[NM_004091, 3]
[NR_110799, 2]
[NM_002167, 20]
[NM_000975, 282]
[NM_001199802, 280]
[NM_003198, 42]
[NR_038280, 15]
[NM_020362, 24]
[NM_007260, 37]
[NM_000403, 14]
[NM_001008216, 14]
[NM_001127621, 15]
[NM_000191, 53]
[NM_001166059, 50]
[NM_000147, 97]
[NM_017761, 244]
[NM_001191007, 107]
[NM_001191009, 107]
[NM_001300937, 109]
[NM_006625, 107]
[NR_034035, 105]
[NM_001191006, 109]
[NM_001300936, 109]
[NM_001191005, 163]
[NM_054016, 163]
[NM_152372, 48]
[NM_021258, 3]
[NM_173064, 26]
[NM_170743, 26]
[NM_173065, 26]
[NM_001195010, 1]
[NM_021180, 1]
[NM_198173, 1]
[NM_198174, 1]
[NM_001199012, 8]
[NM_001199013, 8]
[NM_001199014, 8]
[NM_178122, 8]
[NM_020448, 75]
[NM_001251977, 14]
[NM_001251978, 14]
[NM_001251979, 14]
[NM_001251980, 14]
[NM_001251981, 14]
[NM_001251982, 14]
[NM_001251985, 14]
[NM_013441, 14]
[NM_001251983, 13]
[NM_001251984, 13]
[NR_109781, 2]
[NM_001010980, 10]
[NM_001303448, 78]
[NM_001303449, 78]
[NM_005839, 78]
[NM_013943, 711]
[NM_001031680, 4]
[NM_004350, 4]
[NM_015484, 54]
[NM_207170, 49]
[NM_020317, 39]
[NM_001127691, 6]
[NM_001282867, 6]
[NM_001282868, 6]
[NM_001282869, 6]
[NM_001282870, 6]
[NM_001282871, 6]
[NM_001282872, 6]
[NM_016124, 6]
[NM_014313, 119]
[NM_020485, 2]
[NM_138616, 2]
[NM_138617, 2]
[NM_138618, 2]
[NM_001282564, 41]
[NM_018202, 50]
[NM_015627, 27]
[NM_001289010, 63]
[NM_020379, 64]
[NM_020451, 110]
[NM_206926, 110]
[NM_001099625, 88]
[NM_001099627, 83]
[NR_024498, 4]
[NM_019557, 88]
[NM_001099626, 87]
[NM_001287490, 11]
[NM_024037, 4]
[NM_178422, 45]
[NM_001145454, 20]
[NM_005563, 69]
[NM_203399, 69]
[NM_203401, 69]
[NM_000437, 42]
[NM_004455, 1]
[NM_001004434, 22]
[NM_032513, 22]
[NM_001243533, 20]
[NM_152835, 20]
[NM_001243532, 19]
[NM_024869, 5]
[NM_015871, 2]
[NM_001297647, 3]
[NM_001297648, 3]
[NM_006314, 3]
[NR_110698, 9]
[NM_022778, 23]
[NM_001281517, 22]
[NM_001281518, 18]
[NM_031286, 65]
[NM_001077262, 3]
[NM_145345, 3]
[NM_183008, 3]
[NM_024674, 4]
[NM_001243564, 41]
[NM_001243565, 41]
[NM_024887, 43]
[NM_205861, 43]
[NM_005517, 272]
[NM_001006665, 23]
[NM_002953, 23]
[NM_006015, 88]
[NM_139135, 85]
[NM_001202554, 11]
[NM_017837, 11]
[NM_032283, 16]
[NM_006142, 1]
[NM_018066, 6]
[NM_022078, 6]
[NM_021969, 1]
[NM_006600, 72]
[NM_152365, 4]
[NM_001013642, 32]
[NM_052943, 7]
[NM_003047, 28]
[NR_046474, 27]
[NM_001276252, 48]
[NM_015023, 48]
[NM_032125, 14]
[NR_037576, 14]
[NR_037577, 14]
[NR_037580, 14]
[NR_033926, 194]
[NM_001193308, 1]
[NM_032872, 1]
[NM_001297609, 22]
[NM_004672, 22]
[NM_003665, 17]
[NM_173452, 17]
[NM_005281, 2]
[NM_001201404, 160]
[NM_006990, 162]
[NM_001029882, 23]
[NM_001042729, 10]
[NM_001042747, 10]
[NM_005248, 10]
[NM_002038, 16]
[NM_022872, 16]
[NM_022873, 16]
[NM_001143912, 20]
[NM_001143913, 20]
[NM_001143914, 17]
[NM_152660, 17]
[NM_001143915, 16]
[NM_177424, 100]
[NM_002713, 36]
[NM_014110, 37]
[NM_138558, 37]
[NM_001039477, 4]
[NM_001105556, 4]
[NM_001286113, 4]
[NM_001286115, 4]
[NM_004848, 4]
[NM_001286076, 29]
[NM_001297558, 28]
[NM_002946, 28]
[NM_001009568, 1]
[NM_014474, 2]
[NM_018053, 10]
[NM_001282561, 72]
[NM_001282562, 72]
[NM_001990, 72]
[NM_001282560, 7]
[NR_104214, 6]
[NM_000952, 12]
[NM_001164721, 12]
[NM_001164722, 12]
[NM_001164723, 12]
[NM_014280, 67]
[NM_016311, 38]
[NM_178190, 41]
[NM_178191, 74]
[NM_031459, 27]
[NM_017638, 19]
[NM_001127350, 18]
[NM_001048183, 79]
[NM_023923, 79]
[NM_001048199, 20]
[NR_002909, 16]
[NR_030725, 23]
[NR_030726, 23]
[NR_036473, 16]
